code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
538191,Dřevčice,560,364,362,59,1,0,23,0,24,14,3,5,4,0,0,54,0,0,24,90,0,1,8,0,16,4,2,29,1
534781,Dřísy,732,471,469,78,1,0,23,0,32,17,8,0,7,0,1,50,0,0,16,163,0,3,24,0,1,0,1,44,0
564915,Herink,346,262,259,60,0,0,3,0,21,3,6,0,9,0,0,44,0,0,17,63,0,0,10,0,1,1,0,21,0
565989,Hlavenec,266,197,197,30,0,0,8,1,8,7,2,7,2,1,0,31,1,0,20,71,0,0,0,0,1,1,0,6,0
538221,Horoušany,934,676,669,87,1,1,37,1,44,27,10,6,10,3,1,130,0,0,61,157,0,2,18,0,3,0,0,68,2
538230,Hovorčovice,1 669,1 228,1 221,268,0,0,37,0,96,55,14,7,28,0,5,142,0,1,107,305,1,0,33,0,6,3,1,107,5
538248,Hrusice,601,375,374,60,0,0,16,0,43,10,5,8,5,1,0,63,0,2,24,86,0,1,19,0,3,0,0,27,1
538256,Husinec,1 054,769,762,119,0,2,32,1,57,29,10,3,12,1,1,144,0,0,96,157,0,0,41,0,17,1,0,37,2
538264,Jenštejn,665,479,475,91,0,0,19,0,46,24,16,2,8,1,0,75,0,0,47,78,0,0,22,0,3,0,0,43,0
533378,Jevany,577,410,405,85,5,1,27,0,30,26,3,4,6,0,0,52,0,0,47,90,0,1,8,0,2,0,0,15,3
538272,Jirny,1 918,1 390,1 383,272,3,0,71,3,103,56,22,11,23,0,2,219,1,1,131,272,0,2,47,0,11,1,2,124,6
538281,Kaliště,219,145,144,20,0,1,7,0,10,4,3,0,3,0,0,20,0,0,9,48,0,0,2,0,1,0,0,16,0
538299,Kamenice,3 334,2 268,2 254,411,5,2,103,1,184,96,50,15,46,0,2,346,2,5,194,521,1,3,73,0,19,2,1,168,4
564974,Káraný,604,404,400,85,0,0,17,0,15,13,6,5,4,0,0,62,0,1,29,123,0,0,6,0,1,0,0,32,1
538311,Klecany,2 453,1 617,1 609,253,0,1,57,0,157,78,30,8,31,1,3,313,1,2,143,325,1,5,60,0,18,1,2,115,4
538329,Klíčany,269,166,166,29,0,1,8,0,6,13,1,3,1,0,1,23,0,0,8,53,0,0,4,0,1,0,0,14,0
513628,Klokočná,205,153,153,29,1,3,3,0,12,10,3,1,1,0,0,21,1,0,15,36,0,1,6,0,0,0,0,10,0
531553,Konětopy,236,152,152,32,0,0,13,0,11,2,1,5,1,0,0,12,0,0,3,51,0,0,11,0,0,0,0,10,0
564761,Konojedy,185,116,116,11,1,0,3,0,7,4,1,1,2,0,0,32,0,0,2,35,0,1,2,0,2,0,0,12,0
533416,Kostelec nad Černými lesy,2 840,1 806,1 805,289,9,0,96,1,125,141,31,10,22,3,1,223,2,2,144,479,2,9,47,0,4,5,4,153,3
538370,Kostelec u Křížků,541,396,394,65,2,0,17,0,42,15,4,2,6,0,1,65,0,0,33,101,0,0,13,0,1,1,0,26,0
536130,Kostelní Hlavno,351,233,233,31,0,1,11,0,9,20,2,2,1,1,3,30,0,2,9,89,1,0,9,0,2,0,0,9,1
533432,Kozojedy,638,469,467,82,2,0,19,0,48,22,1,3,11,0,0,78,1,2,35,103,0,2,11,0,0,0,1,43,3
534960,Křenek,213,134,134,26,3,0,11,0,5,5,0,1,3,1,0,13,0,0,12,27,0,0,8,0,1,0,0,18,0
564991,Křenice,520,398,392,101,3,1,18,0,34,8,1,2,13,1,1,69,0,0,33,74,0,2,6,0,3,0,2,19,1
538418,Křížkový Újezdec,163,130,129,43,0,1,1,0,7,4,0,1,2,1,0,11,0,0,6,30,0,1,4,1,1,1,0,13,1
538426,Kunice,1 049,780,776,154,1,0,28,0,56,19,8,4,10,0,1,131,1,0,78,181,0,0,14,0,11,1,5,71,2
564982,Květnice,1 053,809,805,184,3,0,43,1,53,17,18,5,14,0,2,120,0,0,95,138,1,0,39,1,5,2,2,60,2
538914,Lázně Toušeň,1 039,674,671,107,2,1,33,0,37,40,6,5,12,1,1,105,1,0,40,168,0,2,29,0,10,0,0,69,2
534986,Lhota,356,253,252,62,1,0,16,0,11,5,1,2,10,0,0,31,0,0,23,68,0,0,4,0,0,0,1,16,1
538442,Líbeznice,1 763,1 241,1 235,431,0,0,41,0,63,50,19,1,24,1,1,157,0,1,72,258,0,0,20,0,6,1,0,86,3
538451,Louňovice,805,621,619,110,0,2,21,0,48,17,9,1,24,1,0,102,0,0,66,146,0,2,19,2,5,0,0,44,0
538469,Máslovice,300,223,222,16,0,0,16,0,24,21,3,2,3,0,0,31,0,0,8,65,0,0,1,0,1,0,3,27,1
538477,Měšice,1 405,944,933,216,0,0,44,1,43,40,9,5,10,2,2,142,0,2,88,236,0,1,16,1,8,2,1,64,0
538485,Mirošovice,904,641,639,103,0,1,17,0,71,14,2,5,13,1,3,123,0,1,47,153,2,2,22,0,7,1,1,48,2
538493,Mnichovice,2 688,1 940,1 933,309,6,4,77,0,284,80,34,11,39,0,4,270,1,2,172,407,0,0,90,0,16,4,2,118,3
598267,Modletice,356,219,219,30,0,0,4,0,28,13,4,2,2,0,0,40,0,1,25,52,0,0,3,0,2,0,0,13,0
538507,Mochov,784,504,504,71,15,0,29,0,27,25,6,1,6,1,1,60,0,1,28,163,1,0,9,0,6,1,0,50,3
538515,Mratín,898,599,599,140,0,0,40,0,26,28,11,2,13,0,0,69,0,0,40,152,0,0,5,0,5,2,0,65,1
538523,Mukařov,1 736,1 279,1 265,231,6,2,60,3,145,55,27,8,26,1,2,151,0,0,119,284,1,3,34,0,7,0,3,96,1
538540,Nehvizdy,1 893,1 308,1 304,237,20,1,60,0,78,49,14,4,32,0,1,170,1,1,121,358,1,4,39,1,8,0,3,100,1
538558,Nová Ves,849,588,587,131,4,1,22,0,27,18,14,5,8,0,1,101,1,0,42,132,2,0,11,1,8,1,0,56,1
538566,Nový Vestec,358,258,258,54,0,0,9,2,16,14,0,1,1,0,0,37,0,0,26,75,0,1,7,0,3,2,1,9,0
533548,Nučice,306,201,199,14,2,0,12,0,28,19,5,0,5,0,0,24,0,0,15,48,0,1,3,0,1,0,1,18,3
564907,Nupaky,922,619,617,77,1,0,31,0,53,15,4,0,10,0,1,124,1,0,57,168,0,0,16,0,4,1,0,52,2
538574,Odolena Voda,4 373,2 867,2 851,369,7,1,199,2,178,194,56,31,41,1,4,468,3,3,207,711,0,8,88,2,27,13,3,217,18
533564,Oleška,761,460,459,34,0,0,37,0,28,31,4,3,5,0,1,44,0,0,24,170,0,1,11,0,2,3,3,56,2
538582,Ondřejov,1 205,853,852,135,1,1,17,2,108,44,13,13,11,0,2,94,1,0,68,190,0,0,66,1,5,1,3,75,1
571679,Oplany,84,57,57,9,0,0,3,0,7,4,0,0,1,0,0,13,0,0,6,12,0,1,0,0,0,0,0,1,0
538604,Panenské Břežany,418,276,275,63,1,0,8,0,22,10,5,3,5,0,2,41,0,0,16,64,0,1,3,0,2,3,0,25,1
529656,Pětihosty,166,123,121,21,0,0,2,0,14,2,3,3,6,0,0,9,1,0,13,25,0,0,11,0,0,1,0,10,0
538612,Petříkov,412,285,284,53,0,0,18,0,29,19,6,1,3,0,0,45,0,0,12,69,0,1,9,1,3,1,2,12,0
538621,Podolanka,431,287,286,32,0,0,12,1,17,17,4,3,4,0,1,39,1,0,12,100,0,2,8,5,0,0,0,28,0
538639,Polerady,204,109,107,13,0,0,4,0,8,3,2,1,4,0,1,14,0,0,4,29,0,0,1,0,0,0,0,22,1
599221,Popovičky,265,193,192,32,0,1,5,0,14,3,2,0,7,0,1,23,0,0,11,72,1,0,5,0,0,0,0,15,0
564788,Prusice,61,42,42,5,0,0,1,0,4,4,0,0,0,0,0,3,0,0,1,19,0,0,0,0,0,0,1,4,0
538655,Předboj,658,454,446,96,1,0,23,1,40,12,3,1,9,0,1,76,0,0,52,90,0,0,13,0,2,1,1,24,0
538671,Přezletice,1 103,842,841,186,0,0,35,0,53,38,10,10,16,0,3,133,2,1,87,183,0,0,24,0,4,1,0,53,2
538698,Radějovice,324,245,244,58,0,0,12,0,14,5,1,2,4,1,0,44,0,0,14,55,0,2,5,0,0,0,1,25,1
538701,Radonice,705,490,485,104,0,0,17,0,45,36,7,3,6,1,0,66,1,1,35,109,0,0,19,0,2,1,0,31,1
538728,Říčany,11 198,7 966,7 926,1 393,16,4,344,3,820,291,149,51,127,7,15,1 332,2,5,875,1 707,3,9,309,2,46,3,2,400,11
598283,Sedlec,237,198,197,44,0,0,12,0,13,5,8,1,5,0,0,28,1,0,27,35,0,0,2,0,3,1,1,11,0
538752,Senohraby,927,696,693,132,3,1,32,2,62,39,12,5,18,0,0,110,1,1,61,150,0,1,20,0,7,2,0,34,0
538761,Sibřina,571,374,373,77,1,0,20,0,22,12,2,1,2,0,4,63,0,0,36,96,0,0,8,0,0,2,0,26,1
538779,Sluhy,539,353,352,63,1,0,6,0,22,11,2,1,4,1,2,44,0,0,22,123,0,1,10,0,2,0,0,36,1
538787,Sluštice,376,260,257,39,5,0,15,0,12,13,3,2,4,0,2,44,0,0,16,76,0,0,2,0,3,0,1,17,3
538809,Strančice,1 700,1 193,1 184,185,2,0,50,0,108,68,13,2,24,1,2,226,0,1,97,280,1,0,44,0,11,1,1,67,0
538825,Struhařov,657,452,447,79,2,0,23,0,45,18,6,3,5,0,1,84,1,0,33,106,0,0,8,0,1,0,1,27,4
533718,Stříbrná Skalice,1 072,675,674,87,0,0,35,0,61,34,8,4,15,2,0,114,0,0,46,199,0,0,18,0,1,0,1,48,1
571954,Sudovo Hlavno,393,239,239,38,0,0,13,0,20,13,2,1,1,2,0,23,0,0,11,81,0,0,7,1,1,1,2,22,0
538833,Sulice,1 325,1 030,1 019,226,1,0,34,0,67,37,17,6,16,1,1,155,0,4,100,257,1,0,16,0,10,1,0,68,1
598305,Svémyslice,289,214,213,50,0,0,12,0,17,9,1,0,1,0,1,27,0,0,29,41,0,0,2,0,3,0,3,16,1
538841,Světice,892,672,662,103,0,0,31,0,57,27,9,6,14,0,2,99,1,1,86,137,0,0,27,0,4,1,1,55,1
538850,Svojetice,747,535,531,98,0,0,18,0,43,28,14,3,11,1,0,100,0,0,32,123,0,1,9,0,3,0,0,45,2
538876,Šestajovice,2 479,1 831,1 827,448,2,4,73,1,151,36,21,4,36,0,2,254,0,1,210,385,1,1,44,1,17,3,3,126,3
538884,Škvorec,1 171,799,796,159,2,1,38,1,56,28,13,6,14,1,2,121,0,0,89,168,2,0,34,1,9,0,1,44,6
571644,Štíhlice,144,94,93,9,0,0,6,0,11,8,0,0,1,0,0,12,0,0,7,24,0,0,0,0,2,0,0,10,3
538892,Tehov,648,455,452,91,0,0,16,0,35,18,9,6,3,0,2,86,0,0,36,91,0,0,17,0,2,1,1,38,0
599719,Tehovec,476,339,337,91,1,0,9,0,22,17,6,5,6,0,0,35,0,0,17,88,0,2,4,0,3,0,0,30,1
538957,Úvaly,4 788,3 384,3 370,579,3,4,201,2,330,124,50,14,64,6,4,528,2,3,341,736,0,1,148,1,21,6,2,190,10
538965,Veleň,945,670,665,125,1,0,31,1,37,21,7,2,23,1,2,98,0,0,42,196,0,1,7,0,0,1,2,67,0
538973,Veliká Ves,241,147,145,32,0,0,8,0,6,9,1,0,3,0,2,20,0,0,11,35,0,0,1,0,2,1,0,13,1
538981,Velké Popovice,1 972,1 341,1 329,242,2,0,57,0,133,60,16,11,21,0,6,144,1,1,127,336,2,0,44,0,13,3,1,106,3
538990,Větrušice,455,314,314,36,5,0,23,0,20,20,8,5,8,1,1,44,0,1,20,72,0,1,11,1,4,0,0,32,1
533874,Vlkančice,172,120,119,20,0,0,6,0,16,7,1,2,3,0,0,11,0,0,9,32,0,0,2,0,2,0,1,7,0
539015,Vodochody,457,283,282,37,1,1,14,0,13,25,2,6,2,0,0,40,0,0,23,74,0,0,7,1,1,0,2,29,4
539031,Všestary,626,438,434,80,0,1,14,0,41,24,3,2,4,0,1,68,0,0,38,104,0,4,18,0,3,0,0,28,1
539040,Vyšehořovice,501,325,322,28,7,0,6,0,14,33,2,1,2,0,0,55,0,3,18,121,0,1,3,0,2,2,1,22,1
564796,Výžerky,116,74,74,6,0,0,5,0,4,5,0,1,2,1,0,7,0,0,4,23,0,0,2,0,0,0,0,12,2
533904,Vyžlovka,503,376,375,65,2,0,5,0,36,13,7,3,2,2,3,48,1,1,36,102,3,0,10,0,0,0,1,34,1
505781,Zápy,579,376,375,61,3,0,28,2,26,23,4,3,6,1,0,50,0,1,21,100,0,0,10,0,5,0,0,29,2
535362,Záryby,721,477,473,85,1,0,20,0,28,34,2,5,4,0,0,53,0,0,17,139,2,7,13,1,1,1,3,57,0
539058,Zdiby,2 277,1 632,1 623,316,0,1,72,0,102,48,23,5,38,0,5,280,1,0,185,388,0,0,41,1,11,2,2,98,4
539066,Zeleneč,2 075,1 542,1 535,284,3,1,40,1,130,47,21,5,35,1,1,254,0,0,230,324,1,1,58,0,17,1,1,77,2
513644,Zlatá,222,162,162,29,0,0,7,0,10,6,3,0,2,0,0,26,0,0,19,47,0,0,3,0,1,0,0,9,0
539082,Zlonín,427,300,299,66,2,0,15,0,10,9,4,5,24,7,0,38,0,2,34,55,0,0,6,3,1,0,0,18,0
539091,Zvánovice,430,316,314,56,0,0,8,0,38,22,5,7,4,0,0,30,0,0,17,96,1,1,4,0,2,0,0,23,0
